,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-09-01,1550.0,1584.0,1541.0,1575.0,373500.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-08-31,1614.0,1624.0,1579.0,1579.0,540600.0,1579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2023-08-30,1662.0,1672.0,1628.0,1630.0,290800.0,1630.0,0.0,0.0,0.0,0.3,3.0,1053500.0,84900.0
3,2023-08-29,1609.0,1664.0,1609.0,1634.0,382600.0,1634.0,0.0,0.0,0.0,0.05,1.0,1059800.0,84400.0
4,2023-08-28,1600.0,1630.0,1573.0,1618.0,433000.0,1618.0,0.0,0.0,0.0,0.05,1.0,1018800.0,87200.0
5,2023-08-25,1573.0,1631.0,1552.0,1622.0,571100.0,1622.0,1514200.0,641600.0,0.42,0.05,1.0,1009400.0,84800.0
6,2023-08-24,1594.0,1608.0,1541.0,1596.0,619600.0,1596.0,0.0,0.0,0.0,0.05,1.0,974400.0,92100.0
7,2023-08-23,1529.0,1605.0,1522.0,1594.0,721400.0,1594.0,0.0,0.0,0.0,0.3,3.0,964100.0,84900.0
8,2023-08-22,1480.0,1543.0,1479.0,1535.0,691000.0,1535.0,0.0,0.0,0.0,0.05,1.0,929800.0,98100.0
9,2023-08-21,1432.0,1546.0,1432.0,1476.0,907500.0,1476.0,0.0,0.0,0.0,0.05,1.0,830900.0,91100.0
10,2023-08-18,1456.0,1481.0,1426.0,1460.0,533500.0,1460.0,1371800.0,697900.0,0.51,0.05,1.0,857500.0,93700.0
11,2023-08-17,1510.0,1520.0,1456.0,1471.0,571200.0,1471.0,0.0,0.0,0.0,0.05,1.0,837600.0,105500.0
12,2023-08-16,1574.0,1578.0,1512.0,1532.0,575800.0,1532.0,0.0,0.0,0.0,0.15,3.0,814000.0,95300.0
13,2023-08-15,1605.0,1619.0,1578.0,1590.0,460200.0,1590.0,0.0,0.0,0.0,0.05,1.0,861800.0,89300.0
14,2023-08-14,1523.0,1615.0,1515.0,1605.0,1477500.0,1605.0,0.0,0.0,0.0,0.05,1.0,850800.0,91200.0
15,2023-08-10,1680.0,1718.0,1665.0,1692.0,556800.0,1692.0,1232100.0,738200.0,0.6,0.05,1.0,745300.0,149100.0
16,2023-08-09,1663.0,1684.0,1659.0,1668.0,216100.0,1668.0,0.0,0.0,0.0,0.05,1.0,685800.0,187500.0
17,2023-08-08,1726.0,1726.0,1668.0,1680.0,243400.0,1680.0,0.0,0.0,0.0,0.2,4.0,657400.0,180800.0
18,2023-08-07,1677.0,1739.0,1676.0,1726.0,323000.0,1726.0,0.0,0.0,0.0,0.05,1.0,655400.0,176700.0
19,2023-08-04,1675.0,1703.0,1663.0,1692.0,211700.0,1692.0,1113900.0,785500.0,0.71,0.05,1.0,654600.0,178300.0
20,2023-08-03,1705.0,1711.0,1663.0,1672.0,330200.0,1672.0,0.0,0.0,0.0,0.05,1.0,656200.0,186900.0
21,2023-08-02,1714.0,1749.0,1713.0,1716.0,255400.0,1716.0,0.0,0.0,0.0,0.15,3.0,654400.0,175500.0
22,2023-08-01,1750.0,1763.0,1711.0,1725.0,313500.0,1725.0,0.0,0.0,0.0,0.05,1.0,655400.0,165700.0
23,2023-07-31,1820.0,1820.0,1757.0,1767.0,295300.0,1767.0,0.0,0.0,0.0,0.5,1.0,666200.0,157900.0
24,2023-07-28,1795.0,1816.0,1752.0,1816.0,759500.0,1816.0,1089800.0,699900.0,0.64,0.5,1.0,674600.0,148100.0
25,2023-07-27,1749.0,1797.0,1734.0,1797.0,255200.0,1797.0,0.0,0.0,0.0,0.05,1.0,657300.0,145500.0
26,2023-07-26,1732.0,1757.0,1720.0,1755.0,161900.0,1755.0,0.0,0.0,0.0,0.3,3.0,658000.0,169700.0
27,2023-07-25,1719.0,1742.0,1712.0,1737.0,188600.0,1737.0,0.0,0.0,0.0,0.05,1.0,655100.0,176700.0
28,2023-07-24,1716.0,1727.0,1708.0,1719.0,180000.0,1719.0,0.0,0.0,0.0,0.05,1.0,657200.0,195900.0
29,2023-07-21,1753.0,1753.0,1717.0,1719.0,278000.0,1719.0,1080600.0,755700.0,0.7,0.05,1.0,659400.0,188800.0
30,2023-07-20,1764.0,1768.0,1755.0,1762.0,131600.0,1762.0,0.0,0.0,0.0,0.05,1.0,657000.0,166300.0
31,2023-07-19,1766.0,1773.0,1748.0,1764.0,211800.0,1764.0,0.0,0.0,0.0,0.15,3.0,656200.0,174400.0
32,2023-07-18,1773.0,1779.0,1755.0,1766.0,161300.0,1766.0,0.0,0.0,0.0,0.05,1.0,657500.0,186900.0
33,2023-07-14,1754.0,1780.0,1753.0,1768.0,189200.0,1768.0,1056700.0,721200.0,0.68,0.05,1.0,658500.0,181200.0
34,2023-07-13,1793.0,1797.0,1752.0,1765.0,290000.0,1765.0,0.0,0.0,0.0,0.1,1.0,652700.0,179900.0
35,2023-07-12,1830.0,1830.0,1799.0,1802.0,218600.0,1802.0,0.0,0.0,0.0,0.4,4.0,651800.0,161300.0
36,2023-07-11,1787.0,1838.0,1786.0,1823.0,386300.0,1823.0,0.0,0.0,0.0,0.1,1.0,655200.0,156700.0
37,2023-07-10,1770.0,1795.0,1739.0,1787.0,437700.0,1787.0,0.0,0.0,0.0,0.05,1.0,653200.0,165200.0
38,2023-07-07,1800.0,1806.0,1775.0,1778.0,398400.0,1778.0,1076300.0,726500.0,0.67,0.05,1.0,660500.0,179500.0
39,2023-07-06,1808.0,1833.0,1791.0,1822.0,340300.0,1822.0,0.0,0.0,0.0,0.05,1.0,651800.0,161500.0
