,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-09-01,2220.0,2252.5,2215.5,2242.0,1235900,2242.0
1,2023-08-31,2243.5,2272.0,2231.0,2236.0,3824500,2236.0
2,2023-08-30,2239.0,2252.5,2230.5,2243.0,833700,2243.0
3,2023-08-29,2241.0,2250.0,2231.5,2239.5,568900,2239.5
4,2023-08-28,2220.0,2241.0,2212.0,2240.0,563400,2240.0
5,2023-08-25,2195.0,2209.5,2190.5,2205.0,686900,2205.0
6,2023-08-24,2200.0,2221.0,2183.5,2211.0,621400,2211.0
7,2023-08-23,2180.0,2207.0,2177.0,2207.0,574800,2207.0
8,2023-08-22,2209.0,2219.0,2188.5,2209.5,1219800,2209.5
9,2023-08-21,2184.0,2210.0,2178.5,2187.0,771400,2187.0
10,2023-08-18,2229.0,2235.0,2171.5,2178.0,1431400,2178.0
11,2023-08-17,2185.0,2189.5,2154.5,2179.0,1074000,2179.0
12,2023-08-16,2229.5,2233.5,2210.0,2212.0,829600,2212.0
13,2023-08-15,2242.5,2244.5,2225.5,2235.0,479600,2235.0
14,2023-08-14,2264.5,2270.0,2224.0,2229.5,774000,2229.5
15,2023-08-10,2200.0,2265.0,2198.5,2258.5,930300,2258.5
16,2023-08-09,2207.0,2229.5,2200.5,2224.0,709200,2224.0
17,2023-08-08,2197.0,2219.5,2191.0,2213.0,766900,2213.0
18,2023-08-07,2155.0,2177.0,2148.0,2175.5,652900,2175.5
19,2023-08-04,2157.0,2158.5,2132.0,2138.5,843700,2138.5
20,2023-08-03,2170.0,2170.0,2132.5,2160.5,1050100,2160.5
21,2023-08-02,2175.0,2195.0,2166.5,2185.0,1122400,2185.0
22,2023-08-01,2168.0,2177.0,2146.5,2177.0,1069700,2177.0
23,2023-07-31,2088.0,2171.5,2086.0,2159.0,2271500,2159.0
24,2023-07-28,2029.0,2055.5,2011.0,2038.0,1317200,2038.0
