,日付,信用売残,信用買残,信用倍率
0,2023-08-25,1514200,641600,0.42
1,2023-08-18,1371800,697900,0.51
2,2023-08-10,1232100,738200,0.6
3,2023-08-04,1113900,785500,0.71
4,2023-07-28,1089800,699900,0.64
5,2023-07-21,1080600,755700,0.7
6,2023-07-14,1056700,721200,0.68
7,2023-07-07,1076300,726500,0.67
8,2023-06-30,1059800,607500,0.57
9,2023-06-23,963600,600700,0.62
10,2023-06-16,992800,656300,0.66
11,2023-06-09,964800,618400,0.64
12,2023-06-02,983400,683400,0.69
13,2023-05-26,958500,708800,0.74
14,2023-05-19,978100,698700,0.71
15,2023-05-12,899700,544600,0.61
16,2023-04-28,922900,610100,0.66
17,2023-04-21,1037300,618700,0.6
18,2023-04-14,1051800,636700,0.61
19,2023-04-07,1033400,689000,0.67
20,2023-03-31,1012100,631200,0.62
21,2023-03-24,990300,666500,0.67
22,2023-03-17,960800,555800,0.58
23,2023-03-10,941800,569700,0.6
24,2023-03-03,918800,535900,0.58
