,日付,信用売残,信用買残,信用倍率
0,2023-08-25,1076800,7888700,7.33
1,2023-08-18,931100,8533800,9.17
2,2023-08-10,1043900,8529700,8.17
3,2023-08-04,1222300,7406300,6.06
4,2023-07-28,1630000,6164300,3.78
5,2023-07-21,1128400,5940600,5.26
6,2023-07-14,1026900,5869400,5.72
7,2023-07-07,1076500,5518900,5.13
8,2023-06-30,1133600,6158500,5.43
9,2023-06-23,1056200,6231000,5.9
10,2023-06-16,1017700,6494400,6.38
11,2023-06-09,1206600,6500900,5.39
12,2023-06-02,1257700,6749400,5.37
13,2023-05-26,1156000,6775000,5.86
14,2023-05-19,1442800,6667300,4.62
15,2023-05-12,1160000,7774300,6.7
16,2023-04-28,1337800,8360400,6.25
17,2023-04-21,1594300,8321800,5.22
18,2023-04-14,1584000,8575500,5.41
19,2023-04-07,1529900,8869800,5.8
20,2023-03-31,2963300,9617400,3.25
21,2023-03-24,3119400,10530700,3.38
22,2023-03-17,1684800,10506000,6.24
23,2023-03-10,2023600,6785000,3.35
24,2023-03-03,1928200,6524500,3.38
