,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-09-01,349000.0,351000.0,346000.0,351000.0,2414.0,351000.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-31,360000.0,360000.0,349000.0,350500.0,3924.0,350500.0,0.0,0.0,0.0,0,0,9.0,87.0
2,2023-08-30,361500.0,361500.0,357500.0,360000.0,2161.0,360000.0,0.0,0.0,0.0,30.00,3,57.0,39.0
3,2023-08-29,356500.0,361500.0,356500.0,361500.0,2847.0,361500.0,0.0,0.0,0.0,10.00,1,57.0,16.0
4,2023-08-28,355500.0,356500.0,354500.0,355500.0,1871.0,355500.0,0.0,0.0,0.0,10.00,1,50.0,26.0
5,2023-08-25,351000.0,355500.0,349000.0,355500.0,2026.0,355500.0,123.0,228.0,1.85,10.00,1,53.0,25.0
6,2023-08-24,351500.0,352000.0,348000.0,350000.0,1528.0,350000.0,0.0,0.0,0.0,0.00,0,27.0,27.0
7,2023-08-23,345500.0,350000.0,344000.0,350000.0,2778.0,350000.0,0.0,0.0,0.0,15.00,3,33.0,26.0
8,2023-08-22,340500.0,345500.0,340000.0,345000.0,3093.0,345000.0,0.0,0.0,0.0,0.00,0,27.0,27.0
9,2023-08-21,336500.0,341500.0,336500.0,339000.0,3790.0,339000.0,0.0,0.0,0.0,0,0,4.0,26.0
10,2023-08-18,332500.0,336500.0,330000.0,336000.0,3780.0,336000.0,69.0,253.0,3.67,0,0,21.0,26.0
11,2023-08-17,331500.0,333000.0,329500.0,331500.0,1400.0,331500.0,0.0,0.0,0.0,0,0,20.0,33.0
12,2023-08-16,329000.0,332500.0,329000.0,331000.0,2064.0,331000.0,0.0,0.0,0.0,0,0,21.0,37.0
13,2023-08-15,333000.0,333000.0,328000.0,330000.0,2340.0,330000.0,0.0,0.0,0.0,0,0,20.0,38.0
14,2023-08-14,336000.0,337000.0,330000.0,330500.0,1906.0,330500.0,0.0,0.0,0.0,0,0,20.0,47.0
15,2023-08-10,337000.0,337500.0,334500.0,336000.0,1630.0,336000.0,60.0,250.0,4.17,0.00,0,21.0,21.0
16,2023-08-09,335500.0,337500.0,333000.0,337500.0,2017.0,337500.0,0.0,0.0,0.0,0,0,11.0,15.0
17,2023-08-08,339000.0,339000.0,335500.0,337000.0,1592.0,337000.0,0.0,0.0,0.0,0,0,11.0,25.0
18,2023-08-07,336500.0,339500.0,335500.0,338000.0,1919.0,338000.0,0.0,0.0,0.0,0,0,5.0,26.0
19,2023-08-04,337000.0,338000.0,334000.0,335000.0,2267.0,335000.0,32.0,247.0,7.72,0,0,5.0,37.0
20,2023-08-03,340000.0,343000.0,339000.0,340000.0,1430.0,340000.0,0.0,0.0,0.0,0,0,20.0,26.0
21,2023-08-02,342000.0,343500.0,340000.0,341000.0,2181.0,341000.0,0.0,0.0,0.0,0,0,20.0,27.0
22,2023-08-01,347000.0,347500.0,341000.0,343000.0,2986.0,343000.0,0.0,0.0,0.0,5.00,1,93.0,48.0
23,2023-07-31,350500.0,353000.0,346500.0,346500.0,6496.0,346500.0,0.0,0.0,0.0,0,0,0.0,0.0
24,2023-07-28,351500.0,355500.0,342500.0,348500.0,22167.0,348500.0,136.0,278.0,2.04,0,0,0.0,0.0
25,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,124.0,300.0,2.42,0,0,0.0,0.0
26,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,120.0,367.0,3.06,0,0,0.0,0.0
27,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,185.0,567.0,3.06,0,0,0.0,0.0
28,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,199.0,344.0,1.73,0,0,0.0,0.0
29,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,340.0,310.0,0.91,0,0,0.0,0.0
30,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,572.0,227.0,0.4,0,0,0.0,0.0
31,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,545.0,217.0,0.4,0,0,0.0,0.0
32,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,503.0,225.0,0.45,0,0,0.0,0.0
33,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,449.0,230.0,0.51,0,0,0.0,0.0
34,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,863.0,245.0,0.28,0,0,0.0,0.0
35,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,782.0,242.0,0.31,0,0,0.0,0.0
36,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,715.0,243.0,0.34,0,0,0.0,0.0
37,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,485.0,320.0,0.66,0,0,0.0,0.0
38,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,113.0,341.0,3.02,0,0,0.0,0.0
39,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,64.0,464.0,7.25,0,0,0.0,0.0
40,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,59.0,539.0,9.14,0,0,0.0,0.0
41,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,54.0,637.0,11.8,0,0,0.0,0.0
42,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,55.0,614.0,11.16,0,0,0.0,0.0
43,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,38.0,515.0,13.55,0,0,0.0,0.0
44,2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,56.0,294.0,5.25,0,0,0.0,0.0
